"","ACO","AJM","CUA","FAC","HGM","MER","SFE","TLI","VIF","XAL"
"1",14,17,32,37,39,41,31,23,14,28
"2",24,12,33,54,38,42,22,33,28,52
"3",18,12,35,51,42,55,22,50,28,32
"4",17,16,45,38,38,44,16,42,20,57
"5",37,12,27,33,38,43,12,45,25,53
"6",33,15,26,23,38,50,11,41,47,46
"7",27,9,31,21,30,44,15,40,35,46
"8",28,6,31,16,38,42,14,41,22,46
"9",30,6,30,21,37,40,15,39,28,42
"10",24,12,31,28,38,41,34,42,32,42
"11",24,17,52,31,37,40,38,40,34,37
"12",25,15,53,35,39,42,46,38,32,42
"13",25,15,48,38,48,44,39,44,35,53
"14",27,22,31,50,61,71,19,66,47,76
"15",29,47,26,53,84,97,19,79,60,86
"16",32,42,30,54,68,78,19,57,48,66
"17",18,17,20,26,54,48,19,44,33,41
"18",12,13,13,23,39,43,19,17,11,37
"19",9,14,22,39,33,24,19,12,4,27
"20",10,18,15,17,31,33,14,13,7,33
"21",10,18,17,23,30,35,18,10,5,31
"22",10,11,20,18,37,36,21,23,8,30
"23",12,10,11,19,33,37,12,23,12,44
"24",13,11,26,33,25,36,18,23,15,38
"25",19,23,34,49,29,42,30,23,18,37
"26",25,30,26,19,25,35,20,23,18,30
"27",24,24,21,10,28,35,16,23,13,24
"28",41,13,36,20,38,38,19,43,26,35
"29",21,14,38,30,55,48,18,40,32,57
"30",31,14,36,40,58,59,22,52,23,59
"31",37,12,32,30,53,59,27,33,26,57
"32",40,12,33,31,53,58,21,45,32,52
"33",31,7,27,24,50,54,22,50,38,53
"34",31,12,40,28,52,57,28,45,31,52
"35",31,14,51,40,53,59,38,47,38,56
"36",31,27,36,43,55,62,48,47,40,56
"37",31,24,44,44,57,59,47,48,39,56
"38",31,38,38,49,59,54,36,58,37,56
"39",30,35,15,85,50,50,31,68,34,51
"40",19,27,8,70,33,41,25,52,22,36
"41",16,12,24,39,25,32,23,21,14,37
"42",10,19,27,15,27,28,24,11,6,25
"43",7,22,19,13,14,20,15,9,4,15
"44",9,14,11,10,16,22,11,10,6,14
"45",11,15,14,13,16,24,12,11,7,14
"46",11,16,17,11,18,28,14,13,7,17
"47",10,12,19,13,15,28,12,14,7,21
"48",8,11,16,15,14,29,18,14,8,16
"49",15,13,14,13,18,28,12,21,21,27
"50",17,12,27,24,20,27,16,36,33,32
"51",32,12,38,42,30,39,20,29,26,41
"52",36,11,52,47,34,39,25,54,50,30
"53",28,12,42,43,34,42,23,50,41,37
"54",30,6,36,35,25,33,20,49,43,49
"55",40,6,29,35,36,44,15,46,41,56
"56",27,6,10,33,37,36,11,45,37,51
"57",21,7,8,32,34,29,14,41,34,34
"58",25,6,11,30,46,44,16,39,37,47
"59",31,7,12,35,48,49,23,39,36,49
"60",30,11,30,41,51,53,27,39,33,47
"61",27,19,24,38,41,48,35,47,36,59
"62",24,20,9,39,25,39,16,64,36,58
"63",16,19,6,40,26,32,16,60,29,46
"64",14,14,22,30,22,30,23,22,18,42
"65",10,11,18,22,14,19,14,14,6,26
"66",7,11,14,11,12,15,12,9,3,14
"67",15,12,11,11,11,17,9,6,3,12
"68",15,11,8,9,13,19,8,8,3,10
"69",15,9,10,12,11,16,8,8,4,15
"70",9,6,12,20,15,20,11,9,5,14
"71",12,7,11,15,13,26,11,13,6,21
"72",12,8,12,15,21,24,9,18,14,22
"73",11,8,10,8,18,30,10,22,12,35
"74",9,7,20,18,20,25,13,13,15,16
"75",15,19,22,23,20,23,17,11,11,15
"76",14,14,24,30,23,25,17,14,15,25
"77",16,5,36,23,18,21,27,32,24,41
"78",16,5,16,27,18,19,20,24,20,20
"79",26,6,9,21,20,23,10,28,26,20
"80",35,7,10,21,17,15,14,17,37,17
"81",27,6,11,24,18,19,18,17,33,27
"82",28,6,25,32,23,41,26,27,42,42
"83",32,10,25,38,45,53,41,49,41,51
"84",31,14,27,44,47,55,52,47,42,54
"85",30,19,36,42,47,58,35,49,45,57
"86",24,26,46,38,52,51,22,57,55,57
"87",20,33,27,38,61,53,20,43,41,68
"88",13,20,28,38,48,53,22,27,19,50
"89",9,13,26,46,41,58,31,14,7,44
"90",6,12,17,25,32,27,17,9,4,29
"91",7,13,16,20,19,19,13,6,4,17
"92",7,18,22,17,30,24,18,6,3,18
"93",9,22,16,20,27,24,13,7,4,19
"94",12,13,18,14,23,29,18,12,6,21
"95",12,14,16,14,27,36,18,18,9,27
"96",12,11,19,30,25,19,18,18,11,19
"97",16,14,18,27,23,24,16,17,17,22
"98",28,16,16,20,15,18,13,13,14,31
"99",18,16,16,12,25,28,15,32,14,28
"100",25,16,13,11,18,28,17,35,19,30
"101",15,16,20,22,29,32,19,23,16,29
"102",15,16,20,22,29,32,19,23,16,29
"103",15,16,20,22,29,32,19,23,16,29
"104",15,16,20,22,29,32,19,23,16,29
"105",15,12,12,25,47,25,30,29,19,29
"106",15,14,16,25,38,46,34,39,27,29
"107",15,23,31,37,50,54,48,35,31,29
"108",15,29,58,39,52,57,47,36,42,29
"109",15,28,54,40,50,54,43,45,31,55
"110",26,32,26,35,59,56,34,40,25,48
"111",21,32,12,40,57,60,30,36,21,52
"112",17,32,23,45,49,44,31,20,18,40
"113",11,34,23,21,37,34,22,16,10,25
"114",10,26,14,15,19,27,12,12,11,23
"115",10,16,11,13,14,20,10,8,6,20
"116",9,14,16,16,18,14,11,11,6,21
"117",9,17,20,16,17,24,14,8,5,22
"118",11,14,21,17,16,16,20,8,8,21
"119",10,16,19,17,22,18,18,11,8,19
"120",11,17,18,22,17,26,18,18,10,20
"121",12,9,13,22,18,20,13,27,17,15
"122",16,5,24,22,24,30,11,32,36,46
"123",18,6,26,22,25,32,16,39,27,47
"124",24,7,18,22,34,35,19,33,34,43
"125",23,9,17,22,43,37,20,25,17,11
"126",18,8,9,16,31,40,13,21,15,13
"127",18,7,12,12,28,27,17,23,10,16
"128",14,8,13,8,26,35,16,34,13,18
"129",13,10,10,6,23,32,11,34,13,27
"130",18,9,12,7,26,32,16,22,18,12
"131",24,10,15,20,35,31,26,35,32,16
"132",25,18,20,26,36,34,24,36,32,32
"133",22,11,15,20,31,36,15,34,27,29
"134",13,8,12,10,22,29,12,24,9,18
"135",10,9,11,11,22,29,14,23,11,25
